"","Date","Area","ID","mean_Area"
"1",2020-07-05,21900,"ID108177341327213",26400
"2",2020-07-17,23000,"ID108177341327213",26400
"3",2020-08-01,24500,"ID108177341327213",26400
"4",2021-07-17,28100,"ID108177341327213",26400
"5",2022-07-14,34500,"ID108177341327213",26400
"6",2020-07-05,47200,"ID108258945705888",54766.6666666667
"7",2020-07-17,48900,"ID108258945705888",54766.6666666667
"8",2020-08-01,49900,"ID108258945705888",54766.6666666667
"9",2020-08-15,51000,"ID108258945705888",54766.6666666667
"10",2020-08-23,52300,"ID108258945705888",54766.6666666667
"11",2020-09-09,53000,"ID108258945705888",54766.6666666667
"12",2020-09-24,59200,"ID108258945705888",54766.6666666667
"13",2021-07-17,61000,"ID108258945705888",54766.6666666667
"14",2022-07-14,70400,"ID108258945705888",54766.6666666667
"15",2020-07-05,59400,"ID108731392108516",61520
"16",2020-07-17,59800,"ID108731392108516",61520
"17",2020-08-01,60800,"ID108731392108516",61520
"18",2020-08-15,62800,"ID108731392108516",61520
"19",2020-09-09,64800,"ID108731392108516",61520
"20",2020-07-05,24200,"ID109126529099312",25814.2857142857
"21",2020-07-05,24200,"ID109126529099312",25814.2857142857
"22",2020-08-01,24600,"ID109126529099312",25814.2857142857
"23",2020-08-01,24600,"ID109126529099312",25814.2857142857
"24",2020-09-09,26100,"ID109126529099312",25814.2857142857
"25",2020-09-09,26100,"ID109126529099312",25814.2857142857
"26",2022-07-14,30900,"ID109126529099312",25814.2857142857
"27",2020-07-05,19600,"ID110522393470713",35242.8571428571
"28",2020-07-17,26100,"ID110522393470713",35242.8571428571
"29",2020-08-01,28500,"ID110522393470713",35242.8571428571
"30",2020-08-14,37700,"ID110522393470713",35242.8571428571
"31",2021-07-17,39100,"ID110522393470713",35242.8571428571
"32",2022-07-14,43500,"ID110522393470713",35242.8571428571
"33",2023-07-05,52200,"ID110522393470713",35242.8571428571
"34",2020-07-05,639300,"ID110539573339800",639700
"35",2020-07-05,639300,"ID110539573339800",639700
"36",2020-07-17,639800,"ID110539573339800",639700
"37",2020-07-17,639800,"ID110539573339800",639700
"38",2020-08-23,640000,"ID110539573339800",639700
"39",2020-08-23,640000,"ID110539573339800",639700
"40",2020-07-05,67900,"ID111445811438822",69916.6666666667
"41",2020-07-17,68800,"ID111445811438822",69916.6666666667
"42",2020-07-17,68800,"ID111445811438822",69916.6666666667
"43",2020-08-01,69900,"ID111445811438822",69916.6666666667
"44",2020-08-01,69900,"ID111445811438822",69916.6666666667
"45",2023-07-05,74200,"ID111445811438822",69916.6666666667
"46",2020-07-05,11400,"ID111501646013606",13987.5
"47",2020-07-17,12800,"ID111501646013606",13987.5
"48",2020-08-14,13100,"ID111501646013606",13987.5
"49",2021-07-17,13100,"ID111501646013606",13987.5
"50",2021-08-03,14600,"ID111501646013606",13987.5
"51",2022-07-20,14900,"ID111501646013606",13987.5
"52",2023-07-29,15400,"ID111501646013606",13987.5
"53",2024-07-06,16600,"ID111501646013606",13987.5
"54",2020-07-05,47800,"ID111578955424966",57160
"55",2020-08-14,51700,"ID111578955424966",57160
"56",2020-08-23,52400,"ID111578955424966",57160
"57",2022-07-20,60300,"ID111578955424966",57160
"58",2023-07-05,73600,"ID111578955424966",57160
"59",2020-07-05,21900,"ID111669149738339",24014.2857142857
"60",2022-08-16,22100,"ID111669149738339",24014.2857142857
"61",2023-07-27,23500,"ID111669149738339",24014.2857142857
"62",2023-07-29,23700,"ID111669149738339",24014.2857142857
"63",2023-08-17,23900,"ID111669149738339",24014.2857142857
"64",2024-07-06,26300,"ID111669149738339",24014.2857142857
"65",2024-08-05,26700,"ID111669149738339",24014.2857142857
"66",2020-07-05,82700,"ID111686329607531",99742.8571428571
"67",2020-08-14,88100,"ID111686329607531",99742.8571428571
"68",2020-09-09,89100,"ID111686329607531",99742.8571428571
"69",2021-07-17,100800,"ID111686329607531",99742.8571428571
"70",2022-07-20,110200,"ID111686329607531",99742.8571428571
"71",2022-08-16,110500,"ID111686329607531",99742.8571428571
"72",2023-08-17,116800,"ID111686329607531",99742.8571428571
"73",2020-07-05,45100,"ID111823768561045",47440
"74",2020-09-09,45800,"ID111823768561045",47440
"75",2020-09-09,45800,"ID111823768561045",47440
"76",2021-07-17,50200,"ID111823768561045",47440
"77",2022-07-14,50300,"ID111823768561045",47440
"78",2020-07-05,19800,"ID112231790454104",22360
"79",2020-07-05,19800,"ID112231790454104",22360
"80",2020-09-09,22800,"ID112231790454104",22360
"81",2021-08-03,24400,"ID112231790454104",22360
"82",2022-07-14,25000,"ID112231790454104",22360
"83",2020-09-09,10700,"ID112523848230444",13160
"84",2021-07-17,10700,"ID112523848230444",13160
"85",2021-08-03,12700,"ID112523848230444",13160
"86",2022-07-14,15600,"ID112523848230444",13160
"87",2023-09-07,16100,"ID112523848230444",13160
"88",2020-07-05,35800,"ID112631222416310",40660
"89",2020-07-28,36400,"ID112631222416310",40660
"90",2021-09-11,38600,"ID112631222416310",40660
"91",2022-09-29,40400,"ID112631222416310",40660
"92",2023-07-26,52100,"ID112631222416310",40660
"93",2021-08-03,11500,"ID113013474501964",13240
"94",2021-08-06,11500,"ID113013474501964",13240
"95",2022-07-17,13000,"ID113013474501964",13240
"96",2024-07-30,14900,"ID113013474501964",13240
